# HADES Fig. 2 mass distribution data
# Channel: pi+ p
# Centrality: 0-10%
# Rapidity: 0 < y < 1.8
# Columns: bin M_low_MeV_c2 M_high_MeV_c2 M_center_MeV_c2 dN_dM_MeV stat_err_MeV syst_err_MeV total_err_MeV
# bin M_low_GeV_c2 M_high_GeV_c2 M_center_GeV_c2 dN_dM stat_err syst_err total_err
3 1087.842000 1097.842000 1092.842000 0.008290569 0.0001908751 0.001080875 0.00109759923
4 1097.842000 1107.842000 1102.842000 0.01387063 0.0001334051 0.001774416 0.0017794238
5 1107.842000 1117.842000 1112.842000 0.01714867 0.0001523421 0.002134582 0.002140011315
6 1117.842000 1127.842000 1122.842000 0.01952054 0.0001458968 0.002523128 0.002527342632
7 1127.842000 1137.842000 1132.842000 0.02120214 0.0001423533 0.002698077 0.002701829743
8 1137.842000 1147.842000 1142.842000 0.02195461 0.0001406675 0.002756448 0.002760034949
9 1147.842000 1157.842000 1152.842000 0.0221031 0.0001410199 0.002760809 0.002764408245
10 1157.842000 1167.842000 1162.842000 0.0217573 0.000140357 0.002713862 0.002717489106
11 1167.842000 1177.842000 1172.842000 0.02101997 0.0001393629 0.00260719 0.002610912046
12 1177.842000 1187.842000 1182.842000 0.01998125 0.0001378421 0.002497336 0.00250113725
13 1187.842000 1197.842000 1192.842000 0.01844665 0.0001362902 0.002297121 0.002301160557
14 1197.842000 1207.842000 1202.842000 0.01690651 0.0001345555 0.002103125 0.002107424957
15 1207.842000 1217.842000 1212.842000 0.0152379 0.0001322417 0.001917211 0.001921766345
16 1217.842000 1227.842000 1222.842000 0.01354403 0.0001299563 0.001709915 0.001714846333
17 1227.842000 1237.842000 1232.842000 0.01195513 0.0001274311 0.001561379 0.001566570479
18 1237.842000 1247.842000 1242.842000 0.01047328 0.000124376 0.001428244 0.001433649299
19 1247.842000 1257.842000 1252.842000 0.009089072 0.0001216726 0.001273883 0.001279680475
20 1257.842000 1267.842000 1262.842000 0.00808165 0.0001188654 0.001126937 0.001133188416
21 1267.842000 1277.842000 1272.842000 0.006993044 0.0001157418 0.001061063 0.001067356948
22 1277.842000 1287.842000 1282.842000 0.006180423 0.0001119674 0.001042796 0.001048789872
23 1287.842000 1297.842000 1292.842000 0.005611357 0.0001104614 0.0009876345 0.000993792547
24 1297.842000 1307.842000 1302.842000 0.004892552 0.0001070216 0.0009245468 0.000930720371
25 1307.842000 1317.842000 1312.842000 0.004320351 0.0001035712 0.0008396877 0.000846051078
26 1317.842000 1327.842000 1322.842000 0.004026996 0.0001015757 0.0009354954 0.000940993765
27 1327.842000 1337.842000 1332.842000 0.003783956 0.000100221 0.0008323065 0.000838318769
28 1337.842000 1347.842000 1342.842000 0.003485783 9.660774e-05 0.0007711911 0.00077721861
29 1347.842000 1357.842000 1352.842000 0.003197576 9.340874e-05 0.0007477978 0.000753609144
30 1357.842000 1367.842000 1362.842000 0.003024394 9.107982e-05 0.0006744957 0.000680617354
31 1367.842000 1377.842000 1372.842000 0.002771817 8.767841e-05 0.0006835266 0.000689127068
32 1377.842000 1387.842000 1382.842000 0.002788956 9.049013e-05 0.0006124311 0.000619080218
33 1387.842000 1397.842000 1392.842000 0.00261977 8.376788e-05 0.000705316 0.000710272988
34 1397.842000 1407.842000 1402.842000 0.002561195 8.237507e-05 0.0007360737 0.000740668714
35 1407.842000 1417.842000 1412.842000 0.002363248 7.722019e-05 0.000740878 0.00074489138
36 1417.842000 1427.842000 1422.842000 0.002461556 8.002581e-05 0.0009093827 0.000912897051
37 1427.842000 1437.842000 1432.842000 0.00232511 7.660973e-05 0.0007749497 0.000778727223
38 1437.842000 1447.842000 1442.842000 0.002229181 7.059057e-05 0.0006275472 0.000631504962
39 1447.842000 1457.842000 1452.842000 0.002142814 6.841593e-05 0.0007543031 0.000757399436
40 1457.842000 1467.842000 1462.842000 0.002073021 7.009747e-05 0.0006740168 0.000677652051
41 1467.842000 1477.842000 1472.842000 0.002016518 6.432818e-05 0.0006431399 0.000646349012
42 1477.842000 1497.842000 1487.842000 0.001935174 4.304776e-05 0.0006194576 0.00062095155
43 1497.842000 1517.842000 1507.842000 0.001793371 3.977193e-05 0.0005681344 0.000569524804
44 1517.842000 1537.842000 1527.842000 0.001695929 4.045785e-05 0.000537277 0.000538798118
45 1537.842000 1557.842000 1547.842000 0.001589806 3.686192e-05 0.0005486765 0.000549913359
46 1557.842000 1577.842000 1567.842000 0.001460737 3.771129e-05 0.0004822514 0.000483723634
47 1577.842000 1597.842000 1587.842000 0.001365991 4.342027e-05 0.0003942247 0.000396608666
